Jahr	Familienmietzinsbeiträge	Prämienverbilligung
2011	1.2038108622	14.079937175
2012	1.5303306005	14.161436078
2013	1.7469959199	14.20591557
2014	1.9029641345	14.24315086
2015	2.03620141	13.952584134
2016	2.180589994	14.527402782
2017	2.2729130062	14.724390144
