Jahr	Schweiz	Ausland	Total
2011	4385	1294	5679
2012	4189	1285	5474
2013	4109	1306	5415
2014	4089	1339	5428
2015	3959	1406	5365
2016	3940	1409	5349
2017	3836	1413	5249
