Branche	Basel-Stadt	Basel-Landschaft	Zürich
Chemische Industrie	0.180692975339755	0.031734116712234	0.051026630011517
Elektronik, Optik und Maschinenbau	0.145802400513393	0.144146855126489	0.31815194512014
Medizinaltechnik	7.94592955552733E-02	0.104271368840597	4.82803337466384E-02
Pharmazeutische Industrie	0.41476682211066	0.164027800810348	2.72584317351114E-02
