Jahr	Erhöhen	Beibehalten	Senken	Weiss nicht / Keine Angabe	Total
2003	19	605	873	0	1497
2005	10	569	931	0	1510
2007	5	452	1052	0	1509
2011	13	692	764	47	1516
2015	19	850	558	79	1506
