Jahr	Schweiz	Ausland	18-29 J.	30-39 J.	40-49 J.	50-59 J.	60-69 J.	>69 J.	Männer	Frauen	Total
2003	36.0780065	41.30434783	42.44604317	28.64864865	31.7535545	30.52631579	45.14285714	45.96273292	39.36170213	34.68697124	36.75777568
2005	28.65979381	36.07594937	43.71257485	24.61538462	25.10288066	22.88557214	26.78571429	40.25974026	31.26252505	28.45786963	29.69858156
2007	34.03582719	37.70491803	43.70860927	34.69387755	28.28282828	29.18660287	28.65168539	44.68085106	36.47540984	32.76157804	34.45378151
2011	43.51758794	46.79487179	45.58823529	37.74834437	40.30612245	41.2037037	37.56345178	56.8627451	46.6796875	41.78403756	43.96177237
2015	43.85245902	57.03125	43.20987654	46.66666667	39.47368421	44.88888889	42.79475983	50.64102564	49.50690335	41.8760469	45.38043478
2003_n	923	138	139	185	211	190	175	161	470	591	1061
2005_n	970	158	167	195	243	201	168	154	499	629	1128
2007_n	949	122	151	147	198	209	178	188	488	583	1071
2011_n	995	156	136	151	196	216	197	255	512	639	1151
2015_n	976	128	81	105	152	225	229	312	507	597	1104
