Jahr	Einnahmen aus Quellensteuer
2006	200131849.4
2007	248449269.85
2008	263094268
2009	295020922
2010	299631961.95
2011	313767616
2012	332632079.29
2013	365275690.8
2014	380892265.65
2015	403731511.1
