Kanton	Standortqualität
ZG	2.19
ZH	1.40
AG	0.97
BS	0.86
NW	0.71
SZ	0.67
LU	0.64
AR	0.32
OW	0.27
TG	0.24
BL	0.16
SH	0.10
GE	0.06
AI	-0.11
SG	-0.20
SO	-0.23
VD	-0.36
BE	-0.64
NE	-0.66
UR	-0.75
GL	-0.82
FR	-0.98
TI	-1.04
GR	-1.09
VS	-1.58
JU	-1.84
