Jahr	Schweiz	Ausland	18-29 J.	30-39 J.	40-49 J.	50-59 J.	60-69 J.	>69 J.	Männer	Frauen	Total
2003	95.154884829229	93.532338308457	91	93.362831858407	95.76923076923	96.958174904942	95.299145299145	96.028880866425	95.808383233532	94.191919191919	94.931506849315
2005	96.403440187646	94.202898550724	96.818181818181	94.570135746606	95.532646048109	95.719844357976	94.560669456066	99.22480620155	96.700143472022	95.564005069708	96.096904441453
2007	96.027501909854	95.930232558139	96.56862745098	94.21965317919	95.652173913043	95.620437956204	96.138996138996	97.067448680351	96.902654867256	95.267745952677	96.016205266711
2011	96.207430340557	94.31279620853	96.629213483146	95.266272189349	95.762711864406	94.052044609665	96.551724137931	96.923076923076	96.870342771982	95.192307692307	95.941450432468
2015	96.617986164488	96.470588235294	97.872340425531	91.304347826086	97.093023255813	97.735849056603	96.330275229357	96.987951807228	96.898079763663	96.347607052896	96.600951733514
2003_n	1259	201	200	226	260	263	234	277	668	792	1460
2005_n	1279	207	220	221	291	257	239	258	697	789	1486
2007_n	1309	172	204	173	230	274	259	341	678	803	1481
2011_n	1292	211	178	169	236	269	261	390	671	832	1503
2015_n	1301	170	94	115	172	265	327	498	677	794	1471
