Antworten,Sehr stark,Eher stark,Eher nicht,Gar nicht,Weiss nicht / keine Angabe
2003 (N=208),9.1,30.8,34.6,25.5,0
2005 (N=223),14.3,34.1,31.8,19.7,0
2007 (N=212),10.4,34.4,33.5,21.7,0
2011 (N=179),12.8,39.7,33.5,14,0.3
2015 (N=97),18.6,43.3,29.9,7.2,1
