Antwort,Erhöhen,Beibehalten,Senken,Weiss nicht / keine Angabe
2003 (N=1497),1.3,40.4,58.3,0
2005 (N=1510),0.7,37.7,61.7,0
2007 (N=1509),0.3,30,69.7,0
2011 (N=1516),0.9,45.6,50.4,3.1
2015 (N=1506),1.3,56.4,37.1,5.2
