Antwort,Sehr zufrieden,Eher zufrieden,Eher unzufrieden,Sehr unzufrieden,Weiss nicht,Keine Angabe
2011 (N=1689),39.9,45.4,7.1,1.1,2.2,4.4
2015 (N=1427),44.1,43.7,6.8,1.3,1.1,3
