"Alter"	"Männer"	"Frauen"
"0-4"	1.72	1.53
"5-9"	1.77	1.62
"10-14"	1.95	1.95
"15-19"	2.14	2.26
"20-24"	2.86	3.35
"25-29"	2.88	2.88
"30-34"	2.73	2.70
"35-39"	3.24	3.34
"40-44"	3.60	3.76
"45-49"	3.36	3.73
"50-54"	3.16	3.61
"55-59"	3.11	3.62
"60-64"	2.91	3.52
"65-69"	2.42	3.44
"70-74"	2.41	3.63
"75-79"	2.15	3.65
"80-84"	1.60	3.18
"85-89"	0.73	1.70
"90-94"	0.33	1.10
"95 u.m."	0.06	0.28

