"WOV_NAME"	"Quadratmeterpreis"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"Jahr"
"Innenstadt"	19.093024	18.5903940	19.5956532	"'Ausbildungsniveau nach Wohnviertel'"
"Kanton Basel-Stadt"	17.746848	17.6421251	17.8515717	"'Ausbildungsniveau nach Wohnviertel'"

