""	"Elektro/Optik/Maschinen"	"Verkehr, Lagerei"	"Chemische Industrie"	"Freib., wiss., tech. DL"	"Handel, Reparatur"	"Gastgewerbe"	"Öff. Verwaltung, Bildung"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Baugewerbe"	"Metallindustrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
"2015"	94.18	90.54	98.83	98.61	102.40	97.62	100.74	98.29	101.47	100.48	103.21	119.67
"2016"	88.03	87.42	96.05	101.32	102.68	94.48	101.65	99.84	106.25	102.52	105.83	145.49
"2017"	73.93	85.76	100.40	95.81	101.71	97.42	102.70	102.71	110.87	101.12	108.64	160.60
"2018"	74.18	88.13	99.70	100.60	100.92	102.02	102.57	102.81	113.51	117.04	118.45	170.95

