Jahr	Schweiz	Ausland	Total	Geburten Schweiz	Geburten Ausland	Geburten Total	Schweizer	Ausländer	Alle
2007	7.711248851803	11.364216328405	8.851390098336	999	668	1667	129551	58781	188332
2008	7.699919599233	11.703053844093	8.964459488047	996	699	1695	129352	59728	189080
2009	8.09509805439	11.859829504782	9.308691958339	1046	729	1775	129214	61468	190682
2010	8.616269132157	12.666835346954	9.950715305346	1109	801	1910	128710	63236	191946
2011	8.302310004828	12.575263421976	9.720357592598	1066	802	1868	128398	63776	192174
2012	8.66821809549	12.645344354316	10.005184033177	1110	820	1930	128054	64846	192900
2013	8.499136806418	13.114852495423	10.079371195191	1088	874	1962	128013	66642	194655
2014	8.733590310953	12.30403730807	9.975214956702	1117	839	1956	127897	68189	196086
2015	9.495879368614	12.292191435768	10.481967462754	1211	854	2065	127529	69475	197005
2016	9.457468814643	13.726884779516	10.973798288249	1207	965	2172	127624	70300	197926
