Jahr	 Weiss nicht/Keine Angabe	 Sehr unzufrieden	 Eher unzufrieden	 Eher zufrieden	 Sehr zufrieden
2003	431	37	308	586	109
2005	481	46	341	528	94
2007	557	25	302	525	69
2011	387	20	219	634	240
2015	427	15	189	658	188
