	  2016 	  2017 	2018	2019	2020	2021
 Basel-Stadt	22.8	26.3	26.0	25.0	24.9	25.2
 Basel-Landschaft	29.8	31.7	31.8	34.3	33.7	31.4
 Jura	32.0	32.1	34.3	29.6	36.1	34.2
 Schweiz	28.6	29.5	30.1	30.8	31.3	32.7
 
