	Sehr gern	Eher gern	Eher ungern	Ganz ungern	Weiss nicht	Keine Angabe
2003	832	352	56	20	5	0
2005	807	387	101	13	4	0
2007	810	404	74	12	4	0
2011	884	334	54	13	0	0
2015	871	366	27	9	3	0
2019	1412	564	64	22	9	37

