Alter	Männer	Frauen
0-4	62	67
05-09	68	64
10-14	57	57
15-19	83	68
20-24	82	93
25-29	88	100
30-34	110	95
35-39	112	88
40-44	96	99
45-49	82	92
50-54	81	85
55-59	94	91
60-64	111	85
65-69	81	72
70-74	51	73
75-79	59	56
80-84	39	57
85-89	17	35
90-94	6	12
95 u.m.	1	6
