Jahr	Umzugssaldo Friedmattviertel	Umzugssaldo Kannenfeld	Umzugssaldo Landskron	Umzugssaldo Lysbüchel	Umzugssaldo Pestalozzi
2014	186	0	-18	-91	-24
2015	36	-25	-5	-46	-93
2016	107	17	-97	-76	-27
2017	98	-34	-36	-91	-35
2018	68	-19	-44	-95	54
2019	79	6	-145	14	-32
2020	79	5	15	-99	30
2021	351	-18	-134	-35	-27
2022	91	-62	139	145	-75
2023	86	-95	-78	153	-64
