Branche	Schweiz	Basel-Stadt	Genf	Zürich
Life Sciences	11.40621	11.31293	17.27801	6.05545
Herst. von chem. Erzeugn.	-0.93242	-3.91847	0.87663	-0.68918
Baugewerbe	0.19164	-0.37157	2.18723	3.26775
Handel und Garagengewerbe	-1.20891	-1.62007	-3.15873	-0.63385
Verkehr und Lagerei	1.19196	2.87949	0.86002	-0.75216
Gastgewerbe	1.40974	1.33658	-0.50355	2.59334
Finanz- u. Versicherungsdl.	1.88157	1.95727	1.86204	1.71688
Freiberufl. u. wiss. Dienstl.	1.73693	4.72839	1.71304	0.93211
Sonstige wirtschaftl. Dienstl.	1.53225	4.55449	1.57736	0.71341
Öffentliche Verwaltung	1.08635	0.56734	1.08323	1.27994
Gesundheits- u. Sozialwesen	3.21170	2.43328	2.83034	3.15279

