cities	Bevölkerung	Anteil Frauen (rechte Skala)	time
Basel	867418	50.949599846901954	2021-01-01
Bern	423531	51.27676604546066	2021-01-01
Genf	944310	51.20140631784054	2021-01-01
Lausanne	433676	50.873232551490055	2021-01-01
Zürich	1414345	50.0641639769646	2021-01-01
Frankfurt a. M.	2678557	50.686806366263625	2021-01-01
Freiburg i. Br.	588813	51.28334462724158	2021-01-01
Karlsruhe	711216	49.73032102764842	2021-01-01
München	3016834	50.709783832985174	2021-01-01
Stuttgart	2531040	50.25420380555029	2021-01-01
Lille	1515061	51.89883443636923	2020-01-01
Lyon	2293180	51.6720885408036	2020-01-01
Metz	373821	51.16994497366387	2020-01-01
Paris	13125142	51.66695339372328	2020-01-01
Strassburg	860744	51.68888775292073	2020-01-01
Mailand	4961743	51.23237942795505	2021-01-01
Bologna	785941	51.82666383354476	2021-01-01
Lissabon	3027280	52.88136545017309	2021-01-01
Porto	1292263	52.830035372056614	2021-01-01
Barcelona	5082355	51.29452783207785	2021-01-01
Madrid	6980646	52.05174420820079	2021-01-01
