"Kanton"	"2014"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2015"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2016"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2017"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2018"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2019"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2020"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2021"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2022"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"
"Basel-Stadt"	40.9861	39.5049	42.4673	41.3463	39.8650	42.8276	43.8700	42.3623	45.3777	43.8979	42.4050	45.3908	43.5629	42.0269	45.0989	44.8463	43.3241	46.3684	50.9393	49.4528	52.4258	52.5217	50.9872	54.0561	52.6947	51.1567	54.2327
"Basel-Landschaft"	31.4476	30.3305	32.5646	31.4982	30.3805	32.6159	32.9972	31.8414	34.1530	32.6663	31.5168	33.8158	32.9820	31.8362	34.1278	33.9115	32.7728	35.0503	40.7317	39.5602	41.9032	41.7707	40.5554	42.9861	43.4891	42.2939	44.6844
"Jura"	21.6157	20.2302	23.0012	23.5097	21.4068	25.6126	23.9841	21.8631	26.1050	24.4939	22.3830	26.6047	25.1732	23.1263	27.2201	23.3416	21.2868	25.3965	23.9043	21.8439	25.9646	26.9679	24.8285	29.1073	26.4070	24.2215	28.5924
"BS/BL/JU"	33.6111	32.8081	34.4141	34.0030	33.1760	34.8299	35.7345	34.8872	36.5818	35.6308	34.7895	36.4721	35.7512	34.9053	36.5972	36.4419	35.6010	37.2827	42.1902	41.3451	43.0354	43.6942	42.8192	44.5692	44.5736	43.7040	45.4431
"Schweiz"	31.9412	31.7537	32.1287	32.7362	32.5428	32.9296	33.8823	33.6894	34.0753	34.6929	34.4971	34.8887	34.4750	34.2793	34.6707	35.5784	35.3829	35.7739	40.0998	39.9086	40.2909	40.7386	40.5413	40.9360	41.5267	41.3297	41.7238

