	2019	2020	Veränderung in % (rechte Skala)
00:00	779	165	-0.79
01:00	536	107	-0.80
02:00	318	62	-0.81
03:00	414	91	-0.78
04:00	387	107	-0.72
05:00	370	134	-0.64
06:00	478	271	-0.43
07:00	615	296	-0.52
08:00	932	320	-0.66
09:00	1388	480	-0.65
10:00	1604	628	-0.61
11:00	1757	806	-0.54
12:00	1952	886	-0.55
13:00	2085	955	-0.54
14:00	2174	1073	-0.51
15:00	2260	1025	-0.55
16:00	1851	1002	-0.46
17:00	2324	911	-0.61
18:00	1989	763	-0.62
19:00	1541	578	-0.62
20:00	1265	462	-0.63
21:00	952	364	-0.62
22:00	1063	280	-0.74
23:00	748	223	-0.70
