jahr	Mittlere Grundwassertemperatur
1994	13.8
1995	13.92
1996	13.69
1997	13.63
1998	13.61
1999	13.72
2000	13.8
2001	13.86
2002	13.86
2003	14.02
2004	14.16
2005	14.07
2006	13.93
2007	14.02
2008	13.98
2009	13.96
2010	14.29
2011	14.3
2012	14.54
2013	14.47
2014	14.59
2015	14.73
2016	14.72
2017	14.83
2018	14.93
2019	15.06
