JAHR	Friedmattviertel	Kannenfeld	Landskron	Lysbüchel	Pestalozzi	Stadt Basel
2004	40.16	34.68	25.73	24.73	28.69	34.96
2005	40.15	33.89	25.29	23.02	28.45	34.39
2006	39.66	32.53	25.71	23.63	27.68	34.40
2007	40.64	32.92	26.52	23.37	27.37	34.54
2008	40.74	32.84	27.20	19.29	27.17	34.27
2009	40.26	34.12	27.39	18.33	27.63	34.04
2010	40.90	33.73	27.89	17.81	27.32	33.92
2011	40.84	34.93	27.59	15.41	27.21	33.28
2012	41.25	34.87	28.55	14.81	27.52	33.35
2013	41.17	34.76	28.25	15.65	27.41	33.29
2014	40.06	35.55	28.72	17.05	28.04	33.43
2015	39.83	36.27	30.00	17.93	28.63	33.45
2016	40.40	35.70	31.67	18.29	30.39	33.53
2017	39.94	35.26	31.99	18.60	30.02	33.69
2018	39.92	35.37	31.71	21.82	29.47	33.62
2019	39.95	33.09	32.12	23.27	29.41	33.55
2020	39.37	32.36	31.67	24.09	29.30	33.41
2021	35.94	31.90	31.93	22.91	29.22	33.39
2022	35.99	32.35	30.52	21.11	29.74	32.77
2023	36.57	32.32	29.97	19.22	29.70	32.18
