""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2013-01"	0.029507	25
"2013-02"	0.029507	25
"2013-03"	0.029507	24
"2013-04"	0.029507	30
"2013-05"	0.029507	31
"2013-06"	0.029507	28
"2013-07"	0.029507	28
"2013-08"	0.029507	31
"2013-09"	0.029507	30
"2013-10"	0.029507	24
"2013-11"	0.029507	23
"2013-12"	0.029507	22
"2014-01"	0.025003	24
"2014-02"	0.025003	26
"2014-03"	0.025003	26
"2014-04"	0.025003	23
"2014-05"	0.025003	23
"2014-06"	0.025003	21
"2014-07"	0.025003	21
"2014-08"	0.025003	24
"2014-09"	0.025003	20
"2014-10"	0.025003	20
"2014-11"	0.025003	21
"2014-12"	0.025003	23
"2015-01"	0.034104	25
"2015-02"	0.034104	23
"2015-03"	0.034104	25
"2015-04"	0.034104	29
"2015-05"	0.034104	30
"2015-06"	0.034104	28
"2015-07"	0.034104	32
"2015-08"	0.034104	33
"2015-09"	0.034104	35
"2015-10"	0.034104	38
"2015-11"	0.034104	41
"2015-12"	0.034104	32
"2016-01"	0.031897	28
"2016-02"	0.031897	25
"2016-03"	0.031897	25
"2016-04"	0.031897	27
"2016-05"	0.031897	29
"2016-06"	0.031897	27
"2016-07"	0.031897	26
"2016-08"	0.031897	32
"2016-09"	0.031897	34
"2016-10"	0.031897	33
"2016-11"	0.031897	30
"2016-12"	0.031897	31
"2017-01"	0.034104	28
"2017-02"	0.034104	28
"2017-03"	0.034104	34
"2017-04"	0.034104	36
"2017-05"	0.034104	32
"2017-06"	0.034104	33
"2017-07"	0.034104	31
"2017-08"	0.034104	31
"2017-09"	0.034104	31
"2017-10"	0.034104	29
"2017-11"	0.034104	29
"2017-12"	0.034104	29
"2018-01"	0.027301	25
"2018-02"	0.027301	30
"2018-03"	0.027301	29
"2018-04"	0.027301	29
"2018-05"	0.027301	29
"2018-06"	0.027301	26
"2018-07"	0.027301	27
"2018-08"	0.027301	23
"2018-09"	0.027301	20
"2018-10"	0.027301	18
"2018-11"	0.027301	18
"2018-12"	0.027301	23
"2019-01"	0.017557	18
"2019-02"	0.017557	14
"2019-03"	0.017557	15
"2019-04"	0.017557	13
"2019-05"	0.017557	12
"2019-06"	0.017557	15
"2019-07"	0.017557	14
"2019-08"	0.017557	17
"2019-09"	0.017557	18
"2019-10"	0.017557	15
"2019-11"	0.017557	21
"2019-12"	0.017557	19
"2020-01"	0.033828	24
"2020-02"	0.033828	24
"2020-03"	0.033828	26
"2020-04"	0.033828	32
"2020-05"	0.033828	30
"2020-06"	0.033828	33
"2020-07"	0.033828	37
"2020-08"	0.033828	36
"2020-09"	0.033828	33
"2020-10"	0.033828	31
"2020-11"	0.033828	29
"2020-12"	0.033828	33
"2021-01"	0.033552	33
"2021-02"	0.033552	34
"2021-03"	0.033552	35
"2021-04"	0.033552	32
"2021-05"	0.033552	33
"2021-06"	0.033552	29
"2021-07"	0.033552	29
"2021-08"	0.033552	33
"2021-09"	0.033552	33
"2021-10"	0.033552	26
"2021-11"	0.033552	24
"2021-12"	0.033552	24
"2022-01"	0.023900	26
"2022-02"	0.023900	21
"2022-03"	0.023900	24
"2022-04"	0.023900	19
"2022-05"	0.023900	18
"2022-06"	0.023900	18
"2022-07"	0.023900	25
"2022-08"	0.023900	22
"2022-09"	0.023900	21
"2022-10"	0.023900	22
"2022-11"	0.023900	22
"2022-12"	0.023900	22

