Antwort,Sicherheit der Arbeitsstelle,Betriebsklima,Entwicklungsperspektiven,Arbeitsumfeld,Lohn
2003<br/>(N=544),52.6,38.2,52.8,21,31.3
2005<br/>(N=578),63.8,31.1,50.9,20.1,31.5
2007<br/>(N=506),53.6,39.1,52.8,21.1,37
2011<br/>(N=505),44.8,26.1,45.3,18,32.7
2015<br/>(N=468),56.4,47.2,63,36.8,52.6
