Jahr	Eigentümerwohnungen	Genossenschaftswohnungen	Mietwohnungen	Sonstige Wohnungen	gesamter Wohnungsbestand
2013	131	61	2324	17	2533
2014	129	60	2299	17	2505
2015	160	59	2699	16	2934
2016	180	61	2832	15	3088
2017	170	83	2819	24	3096
2018	165	110	2905	31	3211

