	Veranlagungen 2014	Veranlagungen 2023
Altstadt GB	282	403
Vorstädte	739	939
Am Ring	1551	2098
Breite	869	1192
St. Alban	1074	1606
Gundeldingen	2173	2734
Bruderholz	469	541
Bachletten	807	1053
Gotthelf	661	790
Iselin	1793	2419
St. Johann	2714	2904
Altstadt KB	385	430
Clara	585	872
Wettstein	616	798
Hirzbrunnen	486	675
Rosental	888	1678
Matthäus	2750	3105
Klybeck	903	1205
Kleinhüning.	295	462
Riehen	1174	1639
Bettingen	113	91
