"CityDescr"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	83772	178466	99120	45415
Bern	73099	142667		
Genf	82340	164000		188008
Lausanne	67904	143227		
Zürich	235517	514963		
