"Branche"	"2020"	"2021"	"2022"
"Forschung und Entwicklung"	1530	1602	1752
"Erziehung, Unterricht"	702	981	959
"Baunebengewerbe"	304	462	495
"Sonst. wirtsch. DL"	420	390	479
"Grosshandel"	288	271	200
"Gastronomie"	165	175	184
"Gesundheitswesen"	243	224	171
"Öff. Verwaltung"	67	69	162
"Sozialwesen (ohne Heime)"	131	141	153
"Heime"	150	162	137

