"Jahr"	"Ozonschichtabbauende Stoffe (Halone) in Löschanlagen"	"Zielpfad (2024: 0)"
2005	15075	15075
2006	13907	14281.6
2007	13866	13488.2
2008	13296	12694.7
2009	12119	11901.3
2010	12096	11107.9
2011	11965	10314.5
2012	9630	9521.1
2013	9469	8727.6
2014	7988	7934.2
2015	6351	7140.8
2016	6351	6347.4
2017	6351	5553.9
2018	5900	4760.5
2019	5900	3967.1
2020	5900	3173.7
2021	1107.3	2380.3
2022	964	1586.8
2023	1068	793.4
2024	0	0
