Jahr	Rosental	Messe	Erlenmatt
2011	5.797101000000	5.797101000000	0.000000000000
2012	5.797101000000	5.797101000000	0.000000000000
2013	5.281690140845	5.660377358490	0.000000000000
2014	5.226480836236	5.617977528089	0.000000000000
2015	7.046979865771	5.617977528089	19.354838709677
2016	7.046979865771	5.617977528089	19.354838709677
2017	6.976744186046	5.617977528089	17.647058823529
2018	6.885245901639	5.597014925373	16.216216216216
2019	6.752411575562	5.576208178438	14.285714285714
2020	6.730769230769	5.576208178438	13.953488372093
2021	6.730769230769	5.576208178438	13.953488372093
2022	6.369426751592	5.243445692883	12.765957446808
2022	6.369426751592	5.243445692883	12.765957446808
2023	6.309148264984	5.204460966542	12.500000000000
2024	6.269592476489	5.166051660516	12.500000000000
