"Staatsangehörigkeit"	"Fläche pro Person"
"Schweiz"	45.02
"Deutschland"	42.11
"Italien"	37.34
"Türkei"	29.25
"EU-West + EFTA + UK"	37.39
"EU-Ost"	33.94
"Balkan"	25.83
"Mittel- und Südamerika"	34.12
"Arabische Länder"	26.36
"Afrikanische Länder"	26.24
"Übrige Länder"	28.42
