"Jahr"	"Männer"	"Männer 95% Vertrauensintervall Untergrenze"	"Männer 95% Vertrauensintervall Obergrenze"	"Frauen"	"Frauen 95% Vertrauensintervall Untergrenze"	"Frauen 95% Vertrauensintervall Obergrenze"	"Total"	"Total 95% Vertrauensintervall Untergrenze"	"Total 95% Vertrauensintervall Obergrenze"
2004	20.9058	17.3238	24.4877	34.9799	31.3952	38.5646	28.1726	25.4860	30.8593
2007	23.1009	18.4541	27.7477	30.7431	26.9907	34.4955	27.2416	24.2861	30.1971
2010	18.4531	15.3871	21.5192	28.2369	23.5956	32.8782	23.0032	20.2732	25.7331
2013	18.3454	14.3734	22.3173	33.2119	28.3994	38.0245	26.2769	22.7007	29.8530
2016	17.7999	13.9983	21.6015	34.6127	27.4486	41.7767	26.5949	21.8412	31.3486
2020	20.2284	16.5245	23.9323	29.1831	23.0908	35.2755	24.9000	21.1129	28.6871

