"Staatsangehörigkeit"	"Median 2008"	"Median 2017"
"Schweiz"	47782	48474
"Deutschland"	65481	72683
"Italien"	45114	46729
"Türkei"	34552	30103
"EU-17 + EFTA"	55692	67476
"EU-Ost"	32032	60696
"Balkan"	40254	39590
"Mittel- und Südamerika"	30825	37915
"Arabische Länder"	32765	25709
"Afrikanische Länder"	33330	24000
"Übrige Länder"	47632	72748

