Klassen	 Veranlagungen	 Summe Vermögenssteuer
0	80015	0
1 bis 199 999	15399	4253127
200 000 bis 499 999	8192	11190460
500 000 bis 999 999	5285	18255890
1 bis 1,999 Mio.	3541	26474159
2 Mio. und mehr	3273	200318421
Total	115705	260492057
