""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2013-01"	0.024745	36
"2013-02"	0.024745	32
"2013-03"	0.024745	31
"2013-04"	0.024745	26
"2013-05"	0.024745	25
"2013-06"	0.024745	31
"2013-07"	0.024745	33
"2013-08"	0.024745	35
"2013-09"	0.024745	32
"2013-10"	0.024745	36
"2013-11"	0.024745	37
"2013-12"	0.024745	40
"2014-01"	0.021102	36
"2014-02"	0.021102	37
"2014-03"	0.021102	35
"2014-04"	0.021102	30
"2014-05"	0.021102	30
"2014-06"	0.021102	27
"2014-07"	0.021102	25
"2014-08"	0.021102	23
"2014-09"	0.021102	19
"2014-10"	0.021102	19
"2014-11"	0.021102	26
"2014-12"	0.021102	29
"2015-01"	0.022421	32
"2015-02"	0.022421	33
"2015-03"	0.022421	37
"2015-04"	0.022421	28
"2015-05"	0.022421	27
"2015-06"	0.022421	32
"2015-07"	0.022421	25
"2015-08"	0.022421	27
"2015-09"	0.022421	28
"2015-10"	0.022421	29
"2015-11"	0.022421	28
"2015-12"	0.022421	31
"2016-01"	0.018716	33
"2016-02"	0.018716	34
"2016-03"	0.018716	30
"2016-04"	0.018716	29
"2016-05"	0.018716	22
"2016-06"	0.018716	16
"2016-07"	0.018716	14
"2016-08"	0.018716	16
"2016-09"	0.018716	17
"2016-10"	0.018716	25
"2016-11"	0.018716	29
"2016-12"	0.018716	33
"2017-01"	0.027571	47
"2017-02"	0.027571	40
"2017-03"	0.027571	41
"2017-04"	0.027571	34
"2017-05"	0.027571	32
"2017-06"	0.027571	30
"2017-07"	0.027571	27
"2017-08"	0.027571	25
"2017-09"	0.027571	29
"2017-10"	0.027571	35
"2017-11"	0.027571	38
"2017-12"	0.027571	61
"2018-01"	0.025687	60
"2018-02"	0.025687	57
"2018-03"	0.025687	45
"2018-04"	0.025687	34
"2018-05"	0.025687	29
"2018-06"	0.025687	27
"2018-07"	0.025687	22
"2018-08"	0.025687	21
"2018-09"	0.025687	20
"2018-10"	0.025687	23
"2018-11"	0.025687	29
"2018-12"	0.025687	42
"2019-01"	0.022986	44
"2019-02"	0.022986	42
"2019-03"	0.022986	40
"2019-04"	0.022986	36
"2019-05"	0.022986	41
"2019-06"	0.022986	28
"2019-07"	0.022986	24
"2019-08"	0.022986	19
"2019-09"	0.022986	18
"2019-10"	0.022986	24
"2019-11"	0.022986	23
"2019-12"	0.022986	27
"2020-01"	0.032658	26
"2020-02"	0.032658	38
"2020-03"	0.032658	50
"2020-04"	0.032658	49
"2020-05"	0.032658	51
"2020-06"	0.032658	48
"2020-07"	0.032658	40
"2020-08"	0.032658	43
"2020-09"	0.032658	36
"2020-10"	0.032658	46
"2020-11"	0.032658	43
"2020-12"	0.032658	50
"2021-01"	0.022107	46
"2021-02"	0.022107	42
"2021-03"	0.022107	36
"2021-04"	0.022107	37
"2021-05"	0.022107	31
"2021-06"	0.022107	28
"2021-07"	0.022107	32
"2021-08"	0.022107	26
"2021-09"	0.022107	20
"2021-10"	0.022107	18
"2021-11"	0.022107	17
"2021-12"	0.022107	19
"2022-01"	0.008479	19
"2022-02"	0.008479	18
"2022-03"	0.008479	12
"2022-04"	0.008479	9
"2022-05"	0.008479	10
"2022-06"	0.008479	10
"2022-07"	0.008479	9
"2022-08"	0.008479	9
"2022-09"	0.008479	9
"2022-10"	0.008479	9
"2022-11"	0.008479	8
"2022-12"	0.008479	13

