	Frauen	Männer
2013	65.2	67.7
2014	73.9	74.5
2015	82.3	65.5
2016	56.1	61.5
2017	65.1	57.6
2018	50.0	52.4
2019	46.5	49.6
2020	43.4	57.0
2021	54.3	65.6
2022	33.9	41.0
2023	42.3	51.6
