wohnviertel_id	Altersquotient	Rang	Wohnviertel	jahr_num1
16	0.13024201	1	Rosental	2021
17	0.1958054767	2	Matthäus	2021
18	0.2243975904	3	Klybeck	2021
6	0.2283232628	4	Gundeldingen	2021
11	0.2326462923	5	St. Johann	2021
10	0.2460906085	6	Iselin	2021
14	0.2803738318	7	Wettstein	2021
12	0.2833031947	8	Altstadt Kleinbasel	2021
1	0.2938005391	9	Altstadt Grossbasel	2021
13	0.3055459869	10	Clara	2021
3	0.3100964805	11	Am Ring	2021
19	0.3190220632	12	Kleinhüningen	2021
4	0.3253054101	13	Breite	2021
9	0.3509729473	14	Gotthelf	2021
2	0.3570099256	15	Vorstädte	2021
8	0.367211503	16	Bachletten	2021
5	0.4066091954	17	St. Alban	2021
7	0.4198104082	18	Bruderholz	2021
15	0.4209208245	19	Hirzbrunnen	2021
30	0.4359351988	20	Bettingen	2021
20	0.4775223061	21	Riehen	2021
