Jahr	Basel-Stadt	Basel-Landschaft	Aargau	Solothurn	Übrige Schweiz	Ausland
2013	3296	4333	3799	1801	5363	3962
2014	3343	4458	4035	1877	5381	4000
2015	3493	4508	4316	1912	5709	4053
2016	3575	4631	4470	1976	5991	4097
2017	3534	4677	4726	1977	6066	4123
2018	3496	4749	4740	1955	6054	4098
2019	3595	4838	4742	1981	6069	4232
2020	3748	5089	4744	2066	6293	4360
2021	3735	5205	4728	1975	6384	4416
2022	3689	5172	4619	1902	6342	4501
