"Staatsangehörigkeit"	"Deutsch oder Schweizerdeutsch"	"Kein Deutsch"
"Schweiz"	99533.983526	6914.816474
"Deutschland"	13142.745023	126.376706
"Italien"	2738.773973	3990.211753
"Türkei"	2121.110335	3141.285637
"EU-17 + EFTA"	3437.568094	7370.425227
"EU-Ost"	758.309725	1414.666650
"Balkan"	3195.348071	3678.048652
"Mittel- und Südamerika"	439.804202	1067.413203
"Arabische Länder"	263.160317	476.400467
"Afrikanische Länder"	329.514372	644.242045
"Übrige Länder"	1180.150475	4230.645073

