"Ländergruppe"	"Arithmetisches Mittel der Jahre 2009-2018"
"Schweiz"	1.17
"Deutschland"	1.16
"Italien"	1.10
"Türkei"	1.95
"EU-17 + EFTA"	1.31
"EU-Ost"	1.05
"Balkan"	2.17
"Mittel- und Südamerika"	1.63
"Arabische Länder"	3.54
"Afrikanische Länder"	2.77
"Übrige Länder"	1.58

