"Jahr"	"Klybeck"	"Klybeck 95% Konfidenzintervall Untergrenze"	"Klybeck 95% Konfidenzintervall Obergrenze"	"Kleinhüningen"	"Kleinhüningen 95% Konfidenzintervall Untergrenze"	"Kleinhüningen 95% Konfidenzintervall Obergrenze"	"Basel"	"Basel 95% Konfidenzintervall Untergrenze"	"Basel 95% Konfidenzintervall Obergrenze"
1990	0.73205	"."	"."	0.71622	"."	"."	0.73080	"."	"."
2000	0.69492	"."	"."	0.70078	"."	"."	0.72945	"."	"."
"2019-2023"	0.63559	0.59782	0.67337	0.56188	0.49866	0.62510	0.72908	0.72217	0.73598

