	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU
Wegpendler in die Schweiz	-23824	-56122	-5129	-27931
Wegpendler ins Ausland	-589	-278	-16	-883
Zupendler aus der Schweiz	60353	32609	2335	38154
Zupendler aus dem Ausland	34972	21857	8291	65121
Pendlersaldo	70913	-1934	5482	74461
