Jahr	Umbau- und Unterhaltsarbeiten (UuU)	Total der Bauausgaben (BA)	Anteil UuU am Total der BA (rechte Skala)
2005	670362	1172400	57.2
2006	606475	1225300	49.5
2007	729578	1353900	53.9
2008	625022	1341000	46.6
2009	563850	1202000	46.9
2010	481779	1012200	47.6
2011	629279	998700	63
2012	784738	1334100	58.8
2013	779152	1406000	55.4
2014	938904	1631800	57.5
2015	1038060	1753400	59.2
2016	1027383	1721600	59.7
2017	1022811	1805000	56.7
2018	1003877	1804100	55.6
2019	 958800	1826700	52.5
2020	 849968	1738900	48.9
2021	 854231	1680409	50.3
2022	1050693	1704828	61.6
2023	1136969	1739375	65.4







