"Monat"	"Meldepflichtig 2020"	"Nicht meldepflichtig 2020"	"Meldepflichtig 2021"	"Nicht meldepflichtig 2021"
"Jan"	1128	559	788	388
"Feb"	1162	498	798	369
"Mrz"	615	423	1176	359
"Apr"	123	541	1414	429
"Mai"	3	610		
"Jun"	461	720		
"Jul"	887	714		
"Aug"	812	528		
"Sep"	725	488		
"Okt"	594	425		
"Nov"	578	379		
"Dez"	496	429		

