Jahr	Gewählte	Kandidaturen
1968	0.108	0.201219512195122
1972	0.162	0.193790149892934
1976	0.169	0.239130434782609
1980	0.162	0.26051282051282
1984	0.246	0.295008912655971
1988	0.269	0.347045624532536
1992	0.292	0.343543046357616
1996	0.308	0.389371980676329
2000	0.346	0.365330848089469
2004	0.362	0.361963190184049
2008	0.37	0.346987951807229
2012	0.31	0.340702210663199
2016	0.31	0.351245085190039
2020	0.42	0.356060606
2024	0.46	0.382759
