Monat	 Inland Ø 2013-2022	 Ausland Ø 2013-2022	 Inland 2022	 Ausland 2022
Jan	25889.6	42357.8	20856	18719
Feb	26338.6	47967.1	24483	24893
Mrz	33003.0	58909.9	37724	43814
Apr	31817.2	53757.4	46474	52125
Mai	35204.5	61518.1	53727	65367
Jun	32176.8	75343.5	49236	83640
Jul	38435.2	72200.6	55306	84199
Aug	35833.1	72707.9	57726	79459
Sep	35758.8	71713.7	50746	89647
Okt	40637.1	67147.3	51743	73725
Nov	38537.7	58084.6	43812	66689
Dez	33107.8	57295.2	44797	82200
