"Staatsangehörigkeit"	"Fläche pro Person"
"Schweiz"	45.07
"Deutschland"	42.28
"Italien"	37.23
"Türkei"	28.84
"EU-West + EFTA + UK"	37.59
"EU-Ost"	33.43
"Balkan"	25.34
"Mittel- und Südamerika"	34.18
"Arabische Länder"	26.46
"Afrikanische Länder"	26.29
"Übrige Länder"	28.01
