"Jahr"	"Biotische Schadereignisse"	"Abiotische Schadereignisse"
2004	21873	3388
2005	10654	5318
2006	12517	7689
2007	9576	4403
2008	4218	3659
2009	2835	11655
2010	3562	3544
2011	2400	1757
2012	2661	23371
2013	1863	5054
2014	6989	2634
2015	6308	2083
