 Wohnsitz der Gäste	 1- und 2-Sterne	 3-Sterne	 4- und 5-Sterne	 Nicht klassiert
 VR China	217	794	1131	223
 Indien	232	2310	1700	146
 Spanien	1246	2567	2737	514
 Italien	1671	4560	4664	1092
 Niederlande	1485	6119	6365	961
 USA	2024	3124	14171	587
 UK	1942	6535	10754	1011
 Frankreich	3569	9026	12641	1711
 Deutschland	12165	31581	34247	12326
 Schweiz	31917	117372	94119	36105


