"Alter"	"Männer"	"Frauen"
"0-4"	2.44	2.29
"5-9"	2.49	2.40
"10-14"	2.29	2.15
"15-19"	1.94	1.67
"20-24"	2.24	2.20
"25-29"	4.15	4.53
"30-34"	5.75	5.64
"35-39"	5.93	5.90
"40-44"	5.55	5.21
"45-49"	4.59	4.18
"50-54"	3.69	3.38
"55-59"	3.33	2.75
"60-64"	2.55	2.16
"65-69"	1.48	1.36
"70-74"	1.07	1.08
"75-79"	0.77	0.78
"80-84"	0.55	0.56
"85-89"	0.29	0.38
"90-94"	0.09	0.13
"95 u.m."	0.01	0.04

