""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2013-01"	0.034959	21
"2013-02"	0.034959	20
"2013-03"	0.034959	17
"2013-04"	0.034959	19
"2013-05"	0.034959	15
"2013-06"	0.034959	17
"2013-07"	0.034959	12
"2013-08"	0.034959	11
"2013-09"	0.034959	12
"2013-10"	0.034959	10
"2013-11"	0.034959	12
"2013-12"	0.034959	10
"2014-01"	0.031384	10
"2014-02"	0.031384	10
"2014-03"	0.031384	12
"2014-04"	0.031384	12
"2014-05"	0.031384	14
"2014-06"	0.031384	16
"2014-07"	0.031384	13
"2014-08"	0.031384	14
"2014-09"	0.031384	15
"2014-10"	0.031384	15
"2014-11"	0.031384	14
"2014-12"	0.031384	13
"2015-01"	0.045685	14
"2015-02"	0.045685	12
"2015-03"	0.045685	13
"2015-04"	0.045685	14
"2015-05"	0.045685	14
"2015-06"	0.045685	19
"2015-07"	0.045685	22
"2015-08"	0.045685	24
"2015-09"	0.045685	25
"2015-10"	0.045685	26
"2015-11"	0.045685	25
"2015-12"	0.045685	22
"2016-01"	0.045288	21
"2016-02"	0.045288	21
"2016-03"	0.045288	20
"2016-04"	0.045288	20
"2016-05"	0.045288	23
"2016-06"	0.045288	22
"2016-07"	0.045288	19
"2016-08"	0.045288	16
"2016-09"	0.045288	14
"2016-10"	0.045288	15
"2016-11"	0.045288	17
"2016-12"	0.045288	20
"2017-01"	0.040918	17
"2017-02"	0.040918	20
"2017-03"	0.040918	19
"2017-04"	0.040918	15
"2017-05"	0.040918	13
"2017-06"	0.040918	15
"2017-07"	0.040918	16
"2017-08"	0.040918	19
"2017-09"	0.040918	18
"2017-10"	0.040918	18
"2017-11"	0.040918	18
"2017-12"	0.040918	18
"2018-01"	0.033370	16
"2018-02"	0.033370	16
"2018-03"	0.033370	18
"2018-04"	0.033370	20
"2018-05"	0.033370	17
"2018-06"	0.033370	14
"2018-07"	0.033370	11
"2018-08"	0.033370	12
"2018-09"	0.033370	12
"2018-10"	0.033370	11
"2018-11"	0.033370	11
"2018-12"	0.033370	10
"2019-01"	0.027411	16
"2019-02"	0.027411	14
"2019-03"	0.027411	14
"2019-04"	0.027411	11
"2019-05"	0.027411	11
"2019-06"	0.027411	10
"2019-07"	0.027411	12
"2019-08"	0.027411	11
"2019-09"	0.027411	13
"2019-10"	0.027411	11
"2019-11"	0.027411	7
"2019-12"	0.027411	8
"2020-01"	0.039527	7
"2020-02"	0.039527	9
"2020-03"	0.039527	11
"2020-04"	0.039527	16
"2020-05"	0.039527	16
"2020-06"	0.039527	16
"2020-07"	0.039527	19
"2020-08"	0.039527	18
"2020-09"	0.039527	21
"2020-10"	0.039527	21
"2020-11"	0.039527	23
"2020-12"	0.039527	22
"2021-01"	0.042308	20
"2021-02"	0.042308	22
"2021-03"	0.042308	18
"2021-04"	0.042308	16
"2021-05"	0.042308	14
"2021-06"	0.042308	19
"2021-07"	0.042308	17
"2021-08"	0.042308	15
"2021-09"	0.042308	18
"2021-10"	0.042308	17
"2021-11"	0.042308	17
"2021-12"	0.042308	20
"2022-01"	0.033171	19
"2022-02"	0.033171	20
"2022-03"	0.033171	16
"2022-04"	0.033171	14
"2022-05"	0.033171	13
"2022-06"	0.033171	12
"2022-07"	0.033171	14
"2022-08"	0.033171	12
"2022-09"	0.033171	12
"2022-10"	0.033171	11
"2022-11"	0.033171	12
"2022-12"	0.033171	12

