	Bevorschusste Fälle	Reine Inkassofälle
2013	798	687
2014	774	589
2015	769	593
2016	751	525
2017	735	542
2018	730	590
2019	690	574
2020	673	552
2021	630	497
2022	611	515
2023	591	549		
