"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	202095	""	""	""
"1986"	199935	""	""	""
"1987"	198515	""	""	""
"1988"	196752	""	""	""
"1989"	196036	""	""	""
"1990"	196699	""	""	""
"1991"	197987	""	""	""
"1992"	198609	""	""	""
"1993"	199570	""	""	""
"1994"	199004	""	""	""
"1995"	198128	""	""	""
"1996"	196647	""	""	""
"1997"	194268	""	""	""
"1998"	192192	""	""	""
"1999"	190247	""	""	""
"2000"	188151	""	""	""
"2001"	187436	""	""	""
"2002"	188085	""	""	""
"2003"	188079	""	""	""
"2004"	188478	""	""	""
"2005"	187463	""	""	""
"2006"	187368	""	""	""
"2007"	187684	""	""	""
"2008"	189274	""	""	""
"2009"	190045	""	""	""
"2010"	190333	""	""	""
"2011"	192076	""	""	""
"2012"	193459	""	""	""
"2013"	195459	""	""	""
"2014"	196471	""	""	""
"2015"	197204	""	""	""
"2016"	198206	""	""	""
"2017"	198988	""	""	""
"2018"	200256	""	""	""
"2019"	200682	""	""	""
"2020"	201971	""	""	""
"2021"	201805	""	""	""
"2022"	204550	""	""	""
"2023"	206308	""	""	""
"2024"	207515	""	""	""
"2025"	210529	""	""	""
"2026"	""	212424	211471	209933
"2027"	""	214396	212500	209379
"2028"	""	216402	213584	208872
"2029"	""	218412	214692	208404
"2030"	""	220407	215798	207966
"2031"	""	222376	216884	207540
"2032"	""	224314	217939	207114
"2033"	""	226215	218958	206675
"2034"	""	228079	219939	206212
"2035"	""	229906	220885	205721
"2036"	""	231702	221798	205197
"2037"	""	233471	222682	204642
"2038"	""	235224	223538	204058
"2039"	""	236971	224369	203451
"2040"	""	238721	225177	202825
"2041"	""	240482	225965	202187
"2042"	""	242259	226735	201541
"2043"	""	244053	227491	200891
"2044"	""	245864	228237	200239
"2045"	""	247692	228977	199588
"2046"	""	249532	229712	198938
"2047"	""	251384	230446	198291
"2048"	""	253245	231179	197647
"2049"	""	255114	231913	197007
"2050"	""	256991	232648	196369

