""	"Betrieb von Sportanlagen"	"Sportvereine"	"Fitnesszentren"	"Sonst. DL des Sports"	"Vergnügungsparks"	"Sonst. DL Unterhaltung und Erholung"
2012	116.6	243.7	223.0	63.2	22.9	198.5
2013	105.7	280.2	191.8	47.6	20.6	181.4
2014	109.3	252.2	219.2	59.6	17.7	168.7
2015	102.9	284.3	265.2	50.4	16.1	156.3
2016	105.0	281.1	265.1	46.4	25.2	158.7
2017	108.2	292.6	271.3	51.3	19.8	164.5
2018	104.5	290.0	271.3	48.5	20.3	160.1
2019	105.9	288.1	278.1	36.0	17.6	166.2
2020	120.5	281.5	209.4	34.5	9.6	156.0

