Wohnviertel,Wohnfläche pro Kopf 2015,Rang
Klybeck,31.8503,1
Kleinhüningen,32.4669,2
Rosental,34.0638,3
Matthäus,34.4628,4
St. Johann,36.5693,5
Clara,37.0875,6
Iselin,37.0909,7
Gundeldingen,38.659,8
Breite,38.8153,9
Hirzbrunnen,39.1704,10
Gotthelf,41.6946,11
Altstadt Kleinbasel,43.8589,12
Wettstein,45.6134,13
Am Ring,46.8958,14
Bachletten,46.9222,15
Riehen,47.7031,16
St. Alban,49.285,17
Bruderholz,49.54,18
Vorstädte,50.4173,19
Bettingen,52.377,20
Altstadt Grossbasel,55.1904,21
