Antwort,Stimme sehr zu,Stimme eher zu,Stimme eher nicht zu,Stimme überhaupt nicht zu,Weiss nicht/keine Angabe
2005<br/>(N=1510),27.8,39.1,18.7,9.2,5.2
2007<br/>(N=1509),20.5,41.4,22.5,9.5,5.2
2011<br/>(N=1516),35.1,37.3,16,8.1,6.1
2015<br/>(N=1506),32.6,43.8,13.5,5.4,3.5
