"Kaderstufe"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arab. Länder"	"Afrikan. Länder"	"Übrige Länder"
"Oberes Kader"	174	8	0	0	1	0	0	0	0	0	0
"Mittleres Kader"	447	32	1	0	8	1	0	1	0	0	0
"Mittleres Fachkader"	250	20	1	0	4	0	0	0	0	1	0
"Unteres Kader"	510	69	5	1	6	0	1	1	0	0	0
"Unteres Fachkader"	142	23	0	0	1	0	1	0	0	0	0

