Alter	Männer	Frauen
0-4	2.15	2.02
5-9	2.21	2.14
10-14	2.23	2.01
15-19	2.29	2.26
20-24	2.77	3.20
25-29	3.30	3.69
30-34	3.50	3.50
35-39	3.07	3.15
40-44	2.97	2.99
45-49	2.63	2.70
50-54	2.71	2.84
55-59	3.23	3.57
60-64	3.33	3.72
65-69	2.90	3.33
70-74	2.41	3.02
75-79	2.14	2.85
80-84	1.64	2.50
85-89	0.98	1.89
90-94	0.48	1.15
95 u.m.	0.12	0.43
