	Stimme sehr zu	Stimme eher zu	Stimme eher nicht zu	Stimme überhaupt nicht zu	Weiss nicht	Keine Angabe
2005	420	590	283	139	78	0
2007	310	624	340	143	92	0
2011	532	566	242	123	51	2
2015	491	659	204	81	68	3
2019	599	811	292	109	217	80

