"Jahr"	"pro Kopf"	"in Tonnen (rechte Skala)"
2003	308.5	58167.2
2004	311.1	58737.5
2005	312	58870
2006	310.7	58553.5
2007	308.9	58170.9
2008	313.4	59252
2009	321.1	61228.9
2010	309.8	59474.3
2011	293.6	56427.4
2012	304.6	58753.8
2013	292	56838.1
2014	292.7	57393.4
2015	293.1	57737.4
2016	282.8	55978
2017	275.2	54639.4
2018	273.6	54679.5
2019	267.7	53628.6
2020	271.5	54714.5
2021	269.5	54324.4
2022	254.3	51785.3
